||Month : 11 - 2015|||Vehical : All Vehicals||||By user : asiri
NO|Bill No|Customer|Tol Sale|Varience|Expiries|Damages|Discount|GR|F/Issu|Cash|Cheques|Debit|Credits
115|A12727|Lalitha - SAT|2517|-.75|0|0|0|0|0|2517|0|0|0|
116|A12728|K.P.S. St - SAT|1150|-.2|0|0|0|0|0|1150|0|0|0|
117|A12729|Anura Grinding Mill - SAT|2560|-.14|0|0|0|0|0|0|0|0|2560|
118|A12730|Prabashwara Hotel - SAT|1139|-.64|0|0|0|0|0|1139|0|0|0|
119|A12731|Randika - SAT|2465|-.71|1166.33|0|0|0|0|2465|0|0|0|
120|A12733|Piyasiri - SAT|6625|-.02|0|0|0|0|0|0|0|0|6625|
121|A12734|Weerasinha - SAT|2194|-.92|0|0|0|0|0|2194|0|0|0|
122|A12735|Lal st - SAT|795|0|0|0|0|0|0|795|0|0|0|
123|A12736|Samanmal - SAT|1395|0|0|0|0|0|0|1395|0|0|0|
124|A12737|V.V. Stored - SAT|1080|0|0|0|0|0|0|1080|0|0|0|
125|A12738|Gamage - SAT|445|-.5|0|0|0|0|0|445|0|0|0|
126|A12739|Padmini st - SAT|1281|-.18|0|0|0|0|0|1281|0|0|0|
127|A12740|Chenu F/C - SAT|23415|-.46|0|0|975.64|0|0|0|0|0|23415|
128|A12741|Palathuru Kade - SAT|2106|0|0|0|0|0|0|0|0|0|2106|
129|A12742|Vogina Trade Center - SAT|675|0|0|0|0|0|0|675|0|0|0|
130|A12744|Buddy - SAT|309|-.75|0|0|0|0|0|309|0|0|0|
131|A12745|Ranga st - SAT|1791|-.76|0|0|0|0|0|1791|0|0|0|
132|A12746|Rasa Dahara st - SAT|675|0|0|0|0|0|0|675|0|0|0|
133|A12747|KOPIHENA ST - SAT|529|-.5|0|0|0|0|0|529|0|0|0|
134|A12748|PETTI KADE - SAT|354|0|0|0|0|0|0|354|0|0|0|
135|A12749|Premarathna st - SAT|1599|-.6|0|0|0|0|0|1599|0|0|0|
136|A12750|Akila st - SAT|1059|0|0|0|0|0|0|1059|0|0|0|
137|A12751|Sasika - SAT|440|-.1|0|0|0|0|0|440|0|0|0|
138|A12752|Induwara Phrmacy - SAT|1152|0|0|0|0|0|0|0|0|0|1152|
139|A12753|Jayanthi Food City - SAT|4512|-.04|0|0|0|0|0|4512|0|0|0|
140|A12755|Bandula st - SAT|2597|-.58|0|0|0|0|0|2597|0|0|0|
141|A12756|Kumudasiri - SAT|1870|-.07|0|0|0|0|0|1870|0|0|0|
142|A12757|Roshan Grocery - MON|750|-.6|0|0|0|0|0|750|0|0|0|
143|A12758|A R M St - MON|7301|-.34|199.88|0|304.22|0|0|7301|0|0|0|
144|A12759|Edirisinghe st - MON|292|-.5|0|0|0|0|0|292|0|0|0|
145|A12760|Karapiya st - MON|4974|.2|0|0|207.24|0|0|4974|0|0|0|
146|A12761|M.R. Tree st - MON|540|0|0|0|0|0|0|540|0|0|0|
147|A12762|A.L.M.st - MON|3945|-.75|0|0|0|0|0|0|0|0|3945|
148|A12763|Hewagamage st - MON|1150|-.5|0|0|0|0|0|1150|0|0|0|
149|A12764|A.S Stores - MON|709|-.5|0|0|0|0|0|709|0|0|0|
150|A12765|M.A.R. Stores - MON|1521|-.85|0|0|0|0|0|1521|0|0|0|
151|A12766|Abdul Azees st - MON|754|-.5|0|0|0|0|0|754|0|0|0|
152|A12767|Azra Grocery - MON|495|0|0|0|0|0|0|495|0|0|0|
153|A12768|R S St - MON|5916|-.12|0|0|246.5|0|0|0|5916|0|0|
154|A12769|Punchi Kade - MON|7383|-.3|0|0|383.7|0|43.25|7383|0|0|0|
155|A12770|Kannagara Stores - MON|3960|-.6|0|0|0|0|0|60|3900|0|0|
156|A12771|Ruhunu Rice Grocery - MON|8509|-.33|1211.25|0|354.56|0|0|0|0|0|8509|
157|A12772|Azra paper shop - MON|2752|-.5|0|0|0|0|0|2752|0|0|0|
158|A12773|Jaseema st - MON|3965|-.14|0|0|0|0|0|0|0|0|3965|
159|A12774|Jifriya Hotel - MON|2400|-.06|0|0|0|0|0|2400|0|0|0|
160|A12775|Highland milk 2 - MON|1215|0|0|0|0|0|0|1215|0|0|0|
161|A12776|Ananda Mini Mart - MON|5230|-.53|39.6|0|0|0|0|0|0|0|5230|
162|A12777|Sahabandu st - MON|4327|-.17|369|0|180.3|0|0|4327|0|0|0|
163|A12779|Eraji Grocery - MON|2714|-.09|119.93|0|0|0|0|2714|0|0|0|
164|A12780|Gamage Stores - MON|745|-.5|0|0|0|0|0|745|0|0|0|
165|A12781|W.H.P. Store- Bataganvila - MON|3709|0|0|0|0|0|0|0|0|0|3709|
166|A12782|Bosewana Stores - MON|3437|0|0|0|0|0|0|3437|0|0|0|
167|A12783|Kariyawasam Stores - MON|12902|-.48|1422|0|537.6|0|0|0|0|0|12902|
168|A12784|Fost office - MON|2611|-.5|0|0|0|0|0|2611|0|0|0|
169|A12785|Nanayakara Stores - MON|2450|-.72|126|0|0|0|0|2450|0|0|0|
170|A12786|Semidale Enterprices - MON|3961|-.25|0|0|0|0|0|3961|0|0|0|
171|A12787|Semidale Enterprices - MON|4374|0|0|0|0|0|0|0|4374|0|0|
172|A12788|K.G. Grocery - MON|5297|-.28|0|0|220.72|0|0|5297|0|0|0|
173|A12789|M.S.M.Stores - MON|507|0|22.5|0|0|0|0|507|0|0|0|
174|A12791|A.H.J Gr - MON|1973|-.11|0|0|0|0|0|1973|0|0|0|
175|A12792|Dangedara B/H - MON|1222|-.2|0|0|0|0|0|1222|0|0|0|
176|A12793|Binudi st - MON|1125|0|0|0|0|0|0|1125|0|0|0|
177|A12794|Chaminda Grocery - MON|3650|-.8|553.5|0|152.12|0|0|0|0|0|3650|
178|A12795|Rathna st - MON|939|0|382.5|0|0|0|0|0|0|0|939|
179|A12796|Malithi st - MON|1521|0|0|0|0|0|0|1521|0|0|0|
180|A12798|G.L.N st - MON|405|0|0|0|0|0|0|405|0|0|0|
181|A12799|Auro Book Shop - MON|1263|0|0|0|0|0|0|1263|0|0|0|
182|A12800|Maduranga st - SAT|927|-.5|0|0|0|0|0|927|0|0|0|
183|A12801|Dilmi - TUE|2342|-.87|108|0|0|0|0|0|0|0|2342|
184|A12802|Highland Gr. - TUE|675|0|0|0|0|0|0|675|0|0|0|
185|A12803|K.G.S. - TUE|10204|-.32|77.86|0|0|0|0|0|0|0|10204|
186|A12804|Najith - TUE|2471|-.12|0|0|0|0|0|2471|0|0|0|
187|A12808|Nadeeka Com. - TUE|278|0|270|0|0|0|0|278|0|0|0|
188|A12809|Palathuru Kade - TUE|270|0|0|0|0|0|0|270|0|0|0|
189|A12810|Kirindagoda Fram Shop - TUE|9719|-.84|0|0|404.99|0|0|0|9719|0|0|
190|A12812|Dahanayaka - SAT|2081|-.25|81|0|0|0|0|2081|0|0|0|
191|A12813|Osinro Pharmacy - TUE|979|-.5|0|0|0|0|0|979|0|0|0|
192|A12814|David st - TUE|1112|-.64|0|0|0|0|0|1112|0|0|0|
193|A12815|Sekara st - TUE|7523|-.61|446.4|0|0|0|0|0|0|0|7523|
194|A12816|Danuka G/ m - TUE|10586|-.4|0|0|441.1|0|0|10586|0|0|0|
195|A12817|Samantha's st - Galwatawatta - TUE|2187|0|0|0|0|0|0|2187|0|0|0|
196|A12818|Dilina st - TUE|877|-.51|131.25|0|0|0|0|877|0|0|0|
197|A12819|Dinuka - TUE|1554|0|0|0|0|0|0|1554|0|0|0|
198|A12821|Govijanasewa shop - TUE|957|0|0|0|0|0|0|957|0|0|0|
199|A12822|Saliya st - TUE|675|0|0|0|0|0|0|675|0|0|0|
200|A12823|Samantha's B/H - TUE|3242|-.1|0|0|0|0|0|0|0|0|3242|
201|A12824|Priyanthi st - TUE|829|-.59|0|0|0|0|0|829|0|0|0|
202|A12825|Palathuru Kade - TUE|1628|-.94|0|0|0|0|0|1628|0|0|0|
203|A12827|RANMENIKA FOOD CITY - TUE|5120|-.01|467.16|0|213.33|0|0|120|5000|0|0|
204|A12828|Kumari - TUE|1124|-.05|180|0|0|0|0|1124|0|0|0|
205|A12829|Liyanage - TUE|1977|-.8|0|0|0|0|0|1977|0|0|0|
206|A12830|L.H. N.R St - TUE|3516|-.7|0|0|0|0|0|3516|0|0|0|
207|A12831|Chameera - TUE|732|-.6|0|0|0|0|0|732|0|0|0|
208|A12832|Amarasoma - TUE|3020|-.37|0|0|0|0|0|0|0|0|3020|
209|A12833|Anurada - TUE|396|0|0|0|0|0|0|396|0|0|0|
210|A12834|Liyanarachchi - TUE|3359|-.22|0|0|0|0|0|3359|0|0|0|
211|A12835|Piyal st - WED|1098|0|0|0|0|0|0|1098|0|0|0|
212|A12836|Aminra st - WED|829|-.5|0|0|0|0|0|829|0|0|0|
213|A12837|Nethmi - WED|5439|-.07|371|0|226.63|0|0|5439|0|0|0|
214|A12838|Ambagaha Watta - WED|1891|-.25|0|0|0|0|0|1891|0|0|0|
215|A12839|Chandana - WED|957|0|0|0|0|0|0|957|0|0|0|
216|A12841|Lacky Cafe - WED|795|-.75|0|0|0|0|0|795|0|0|0|
217|A12842|Nihal st - WED|3483|-.91|616.5|0|0|0|0|3483|0|0|0|
218|A12843|Priyanthi st - WED|3417|-.02|0|0|0|0|0|3417|0|0|0|
219|A12844|M.T St - WED|777|0|0|0|0|0|0|777|0|0|0|
220|A12845|Chamath - WED|4871|-.82|0|0|0|0|0|71|0|0|4800|
221|A12847|Anan Manan - WED|891|0|0|0|0|0|0|0|0|0|891|
222|A12848|Lakmal Hotel - WED|367|-.5|0|0|0|0|0|367|0|0|0|
223|A12849|Ariyadasa st - WED|665|-.1|0|0|0|0|0|665|0|0|0|
224|A12850|Sampath f / c - WED|13242|-.67|0|0|551.78|0|0|0|0|0|13242|
225|A12851|Dammika st - WED|2926|-.6|0|0|0|0|0|2926|0|0|0|
226|A12853|Athula st - WED|6491|-1.02|304.43|0|270.5|0|0|6491|0|0|0|
227|A12854|Mahilal Ent - WED|9024|-.8|72|0|376.03|0|0|24|0|0|9000|
228|A12855|Rathna Pharmacy - WED|639|0|189|0|0|0|0|639|0|0|0|
229|A12856|Fanz st - WED|1057|-.5|0|0|0|0|0|1057|0|0|0|
230|A12857|Hilmiya Gr. - WED|1863|0|792|0|0|0|0|1863|0|0|0|
231|A12858|P H S St - WED|1375|-.5|0|0|0|0|0|1375|0|0|0|
232|A12859|Ranjani St - WED|1200|-.22|0|0|0|0|0|1200|0|0|0|
233|A12860|N.S st - WED|2711|-.78|0|0|0|0|0|2711|0|0|0|
234|A12861|Somareera St - WED|1251|0|0|0|0|0|0|1251|0|0|0|
235|A12862|B.P Grocey - WED|7627|-.96|0|0|317.83|0|0|1907|0|0|5720|
236|A12863|Gunasekara st - WED|1170|0|0|0|0|0|0|1170|0|0|0|
237|A12865|Samagi Cantion - WED|1461|-.2|0|0|0|0|0|1461|0|0|0|
238|A12866|Suwira - WED|945|0|0|0|0|0|0|945|0|0|0|
239|A12867|Mathish St - WED|2187.4|0|0|0|0|0|0|2187|0|0|.4|
240|A12868|Nipuna - WED|968|-.22|0|0|0|0|0|0|0|0|968|
241|A12869|Sudantha St - WED|1558|-.5|0|0|0|0|0|0|0|0|1558|
242|A12870|Lakmal st - WED|1339|-.5|0|0|0|0|0|1339|0|0|0|
243|A12871|Senewirathna st - WED|52110|-.35|983.58|0|2334.77|0|0|0|0|0|52110|
244|B12204|Sheela - 2MO|687|0|0|0|0|0|0|0|0|0|687|
245|B12209|Hansagiri st - 2MO|1617|-.04|0|0|0|0|0|617|0|0|1000|
246|B12219|Pradeep st - 2MO|535|-.5|0|0|0|0|0|535|0|0|0|
247|B12274|Oshini st - 2SA|3046|-.95|0|0|0|0|0|0|0|0|3046|
248|B12297|Achira Food City - 2TH|3858|-.58|124.43|0|160.77|0|0|0|0|0|3858|
249|B12317|Gamage st 2 - 2TH|13479|-.86|0|0|594.47|0|0|0|0|0|13479|
250|B12367|Kariyawasam st - 2FR|7534|-.22|0|0|0|0|0|4534|0|0|3000|
251|B12430|Kapila st - 2TU|2368|-.86|0|0|0|0|0|0|0|0|2368|
252|B12441|Himali st - 2TU|8819|-.86|0|0|0|0|0|0|0|0|8819|
253|B12442|Singhagiri st - 2TU|8475.22|0|328.7|0|353.13|0|0|0|8475.22|0|0|
254|B12445|Indika  mabotu - 2TU|5882|.77|300.8|0|0|0|0|5882|0|0|0|
255|B12453|Saman st - 2TU|2139|-.24|0|0|0|0|0|2139|0|0|0|
256|B12459|Situmina St - 2TU|3419|-.58|0|0|0|0|0|0|0|0|3419|
257|B12461|Sanjeewa st - 2TU|2436|-.44|657.4|0|0|0|0|0|0|0|2436|
258|B12470|Wasantha mabotu - 2TU|17410.02|21|558|0|822.98|0|0|0|0|0|17410.02|
259|B12481|Sigiri hottel - 2WE|5185|-.34|0|0|216.06|0|0|0|0|0|5185|
260|B12499|Kumarasiri st - 2WE|805|-.5|0|0|0|0|0|0|0|0|805|
261|B12502|Arachchi st - 2WE|10279|-.65|200.35|0|428.32|0|0|0|0|0|10279|
262|B12509|Liyanage st-Nagoda - 2WE|47875|317.58|8441.71|0|2923.37|0|432|0|47552|0|323|
263|B12521|Kodithuwakku st - 2TH|13005|-1.02|0|0|541.92|0|0|0|0|0|13005|
264|B12522|Ovitawatta st - 2TH|3373|-.54|0|0|0|0|0|0|0|0|3373|
265|B12579|Vijitha st - 2SA|110917|-1.11|0|0|7099.67|0|2478.08|0|0|0|110917|
266|B12582|Siri st - 2SA|945|0|0|0|0|0|0|0|0|0|945|
267|B12596|Sampath st - 2SA|4139|-.3|0|0|0|0|0|0|0|0|4139|
268|B12597|P L St  Wanduramba - 2MO|18699|-.58|0|0|811.96|0|0|0|0|0|18699|
269|B12597|P.L st - 2SA|18699|-.58|0|0|811.96|0|0|467|0|0|18232|
270|B12600|Liyanage St - 2SA|1281|0|0|0|0|0|0|0|0|0|1281|
271|B12601|Udara   st walideniya - 2SA|4489|-.74|720.2|0|0|0|0|0|0|0|4489|
272|B12671|Wijewardana st - 2TU|2871|-.6|0|0|0|0|0|2871|0|0|0|
273|B12678|Ajith st - 2TU|2251|-.5|0|0|0|0|0|0|0|0|2251|
274|B12679|Rathna st 2 - 2TU|2471|-.25|0|0|0|0|0|0|0|0|2471|
275|B12680|Araliya st - 2TU|832|-.5|0|0|0|0|0|0|0|0|832|
276|B12691|Guruge st - 2SA|54967|-.76|0|0|4132.08|0|1239.04|0|0|0|54967|
277|B12700|Liyanage st-Nagoda - 2WE|12564|-.98|0|0|523.54|0|0|0|0|0|12564|
278|B12701|Liyanage st - 2WE|5726.42|.39|0|0|238.58|0|0|0|0|0|5726.42|
279|B12705|Bandula st - 2WE|1368|0|387|0|0|0|0|0|0|0|1368|
280|B12718|Gunawardana st - 2WE|3983|-.3|0|0|0|0|0|0|0|0|3983|
281|B12720|Nishntha  ni - 2WE|495|0|0|0|0|0|0|495|0|0|0|
282|B12721|Isiwara ph - 2WE|967|-.5|0|0|0|0|0|967|0|0|0|
283|B12725|Wanigasekara st - 2TH|6139|-.25|0|0|0|0|0|0|0|0|6139|
284|B12726|Kasun st - 2FR|778|-.5|0|0|0|0|0|778|0|0|0|
285|B12727|SAndun stores - 2FR|238|.25|0|0|0|0|0|238|0|0|0|
286|B12728|K M D st - 2TH|2214|0|0|0|0|0|0|2214|0|0|0|
287|B12731|Chamoda Grinding mils - 2TH|3336|-.81|0|0|139.03|0|0|3336|0|0|0|
288|B12742|Kusumsiri st - 2TH|2106|-.04|0|0|0|0|0|2106|0|0|0|
289|B12763|Nuwan stores - 2FR|315|0|0|0|0|0|0|315|0|0|0|
290|B12764|W.H.D st - 2FR|1143|0|0|0|0|0|0|1143|0|0|0|
291|B12765|Luckey st - 2FR|1892|-.6|0|0|0|0|0|1892|0|0|0|
292|B12766|Lahiru st - 2FR|10006|-.45|0|0|515.37|0|0|0|0|0|10006|
293|B12767|Samanst - 2FR|1487|-.58|0|0|0|0|0|1487|0|0|0|
294|B12768|Malaka st - 2FR|1204|-.5|0|0|0|0|0|1204|0|0|0|
295|B12769|Samantha - 2FR|5263|-.6|0|0|219.32|0|0|5263|0|0|0|
296|B12770|Siriwardana st - 2FR|1431|0|0|0|0|0|0|1431|0|0|0|
297|B12771|Wasana st - 2FR|8401.32|-1.08|753.58|0|350.1|0|0|0|0|0|8401.32|
298|B12772|Nandana st - 2FR|553|-.5|0|0|0|0|0|553|0|0|0|
299|B12774|Galpata stores - 2FR|909|0|0|0|0|0|0|909|0|0|0|
300|B12775|Hiumi st - 2FR|745|-.2|0|0|0|0|0|745|0|0|0|
301|B12776|Gamini st - 2FR|1275|0|0|0|0|0|0|1275|0|0|0|
302|B12777|Nimali st - 2FR|1857|-.6|0|0|0|0|0|1857|0|0|0|
303|B12778|K.G.P st - 2FR|1423|-.5|0|0|0|0|0|1423|0|0|0|
304|B12780|Randee - 2FR|432|0|0|0|0|0|0|432|0|0|0|
305|B12781|Palaturu kade - 2FR|547|-.2|0|0|0|0|0|547|0|0|0|
306|B12782|Patirana stores - 2FR|1249|-.5|0|0|0|0|0|1249|0|0|0|
307|B12784|Hasitha st - 2TH|2239|-.32|0|0|0|0|0|2239|0|0|0|
308|B12785|S.H.A st - 2FR|1483|0|0|0|0|0|0|1483|0|0|0|
